Ticker,Date,Alpha,Unemployment,ConsumerSentiment,Market,Size,ValueGrowth,AlphaStd,UnemploymentStd,ConsumerSentimentStd,MarketStd,SizeStd,ValueGrowthStd,TotalRisk,DiversifiableRisk,NonDiversifiableRisk
BRCM,2014-09-30,0.012,-0.207,-0.16,0.995,0.464,-0.448,0.072,0.862,0.191,0.298,0.528,0.57,29.493,25.06,15.55
CCL,2014-09-30,-0.052,0.514,0.001,1.297,-0.254,0.578,0.056,0.667,0.148,0.231,0.409,0.441,26.489,19.331,18.111
COV,2014-09-30,0.048,-0.561,0.038,0.902,0.36,-0.56,0.049,0.585,0.13,0.202,0.358,0.387,21.87,16.967,13.799
DD,2014-09-30,-0.047,0.544,-0.177,1.507,-0.311,-0.234,0.034,0.407,0.09,0.141,0.249,0.269,22.798,11.593,19.63
CCE,2014-09-30,-0.058,0.814,-0.088,0.888,0.39,0.299,0.042,0.505,0.112,0.175,0.31,0.334,20.748,14.618,14.724
BA,2014-09-30,-0.017,0.26,-0.061,1.059,-0.182,0.314,0.048,0.568,0.126,0.197,0.348,0.376,21.961,16.479,14.517
AN,2014-09-30,-0.062,0.904,-0.284,0.606,0.902,0.652,0.066,0.79,0.175,0.273,0.484,0.523,27.732,22.962,15.551
BAC,2014-09-30,0.103,-1.396,0.113,1.277,0.68,1.271,0.076,0.904,0.201,0.313,0.554,0.598,36.25,26.177,25.076
BK,2014-09-30,0.031,-0.453,0.133,1.062,0.119,1.214,0.042,0.498,0.111,0.172,0.305,0.329,23.836,14.316,19.058
CAT,2014-09-30,-0.095,1.101,-0.16,1.479,0.356,-0.428,0.056,0.668,0.148,0.231,0.409,0.442,29.104,19.298,21.786
LSI,2014-09-30,0.063,-0.798,0.324,1.541,0.577,-0.746,0.096,1.134,0.218,0.341,0.628,0.658,37.224,28.239,24.252
CBS,2014-09-30,-0.095,1.233,0.006,1.548,0.749,-0.134,0.048,0.576,0.128,0.199,0.353,0.381,29.749,16.487,24.762
NRG,2014-09-30,0.076,-0.914,-0.458,0.392,0.441,1.011,0.062,0.737,0.164,0.255,0.451,0.487,25.472,21.423,13.779
CINF,2014-09-30,-0.043,0.572,0.085,0.741,-0.153,0.45,0.031,0.368,0.082,0.127,0.225,0.243,15.195,10.642,10.847
CTXS,2014-09-30,-0.083,0.88,0.041,1.786,0.403,-1.126,0.079,0.938,0.208,0.324,0.574,0.62,37.293,27.156,25.56
M,2014-09-30,-0.038,0.609,0.253,0.77,0.375,0.222,0.065,0.776,0.172,0.268,0.475,0.513,26.409,22.563,13.724
RAI,2014-09-30,-0.033,0.513,-0.09,0.614,-0.487,-0.433,0.04,0.48,0.107,0.166,0.294,0.317,15.932,13.96,7.677
DPS,2014-09-30,0.037,-0.243,0.045,-0.009,0.11,0.181,0.049,0.58,0.129,0.201,0.355,0.383,17.035,16.912,2.043
EA,2014-09-30,0.111,-1.3,0.142,0.723,0.792,0.164,0.094,1.117,0.248,0.386,0.684,0.739,36.089,32.533,15.621
CNX,2014-09-30,-0.017,0.013,-0.25,1.399,0.638,0.61,0.074,0.88,0.195,0.304,0.539,0.582,34.661,25.487,23.491
